From	To
ENSP00000342848	NOXA1_HUMAN
ENSP00000359630	AGRB3_HUMAN
ENSP00000479910	AF17_HUMAN
ENSP00000322649	S2541_HUMAN
ENSP00000468633	SC11C_HUMAN
ENSP00000349305	GOGA4_HUMAN
ENSP00000353942	DRC7_HUMAN
ENSP00000347486	MORN3_HUMAN
ENSP00000372059	IFM5_HUMAN
ENSP00000355028	DZIP3_HUMAN
ENSP00000386348	SAPC2_HUMAN
ENSP00000276431	TR10B_HUMAN
ENSP00000352162	ELAV3_HUMAN
ENSP00000441410	ZN135_HUMAN
ENSP00000413001	CBPC4_HUMAN
ENSP00000316042	ROA0_HUMAN
ENSP00000295101	KCNJ3_HUMAN
ENSP00000367193	FBX48_HUMAN
ENSP00000433001	RGS5_HUMAN
ENSP00000393631	ADM5_HUMAN
ENSP00000381425	MPP3_HUMAN
ENSP00000035307	CHPF2_HUMAN
ENSP00000395196	SYEM_HUMAN
ENSP00000356354	PIMT_HUMAN
ENSP00000261700	RTRAF_HUMAN
ENSP00000373477	GPX3_HUMAN
ENSP00000260372	HAUS2_HUMAN
ENSP00000338864	GRP2_HUMAN
ENSP00000381476	TMPSC_HUMAN
ENSP00000385461	TFDP3_HUMAN
ENSP00000423014	OCAD2_HUMAN
ENSP00000242067	PTHB1_HUMAN
ENSP00000250244	AP1M2_HUMAN
ENSP00000430325	TDRP_HUMAN
ENSP00000356920	DUS12_HUMAN
ENSP00000385470	TNF18_HUMAN
ENSP00000337358	HDHD5_HUMAN
ENSP00000375783	DACT3_HUMAN
ENSP00000379503	PDP1_HUMAN
ENSP00000309689	LRCH4_HUMAN
ENSP00000358212	CJ082_HUMAN
ENSP00000477654	LAS2_HUMAN
ENSP00000251166	CORO7_HUMAN
ENSP00000261590	DSG2_HUMAN
ENSP00000342931	PIT1_HUMAN
ENSP00000460236	SPON1_HUMAN
ENSP00000064571	CBLN4_HUMAN
ENSP00000384638	CTNA2_HUMAN
ENSP00000364802	HS71A_HUMAN
ENSP00000357904	LYSM1_HUMAN
ENSP00000387123	AL7A1_HUMAN
ENSP00000301454	SCMC3_HUMAN
ENSP00000346283	HRCT1_HUMAN
ENSP00000239906	FA53C_HUMAN
ENSP00000261296	TGDS_HUMAN
ENSP00000478672	RAG2_HUMAN
ENSP00000361857	RLF_HUMAN
ENSP00000217958	PSD10_HUMAN
ENSP00000406052	TDRD5_HUMAN
ENSP00000316228	CLC4M_HUMAN
ENSP00000310006	NR1D2_HUMAN
ENSP00000369325	CDKL5_HUMAN
ENSP00000326948	TRM7_HUMAN
ENSP00000376686	LCA5_HUMAN
ENSP00000421326	AT2C1_HUMAN
ENSP00000401115	S18L2_HUMAN
ENSP00000449404	K2C8_HUMAN
ENSP00000331152	MXI1_HUMAN
ENSP00000385570	ICA69_HUMAN
ENSP00000264159	ZRAB3_HUMAN
ENSP00000364008	PLPR1_HUMAN
ENSP00000340776	CFA65_HUMAN
ENSP00000484492	RBIS_HUMAN
ENSP00000309132	B2L14_HUMAN
ENSP00000361927	HNRH2_HUMAN
ENSP00000405330	ESR1_HUMAN
ENSP00000482564	H2AB2_HUMAN
ENSP00000254663	SCLY_HUMAN
ENSP00000355064	SHSA4_HUMAN
ENSP00000245810	PSPN_HUMAN
ENSP00000252934	ATX10_HUMAN
ENSP00000342502	P5CR2_HUMAN
ENSP00000225550	KRT37_HUMAN
ENSP00000328169	JAG2_HUMAN
ENSP00000379721	UBP8_HUMAN
ENSP00000379157	ICAL_HUMAN
ENSP00000308925	TLR10_HUMAN
ENSP00000286353	PXYP1_HUMAN
ENSP00000420294	PHC3_HUMAN
ENSP00000343657	MCCB_HUMAN
ENSP00000353590	MYH10_HUMAN
ENSP00000297283	PGAM2_HUMAN
ENSP00000373884	A0A0X1KG73_HUMAN
ENSP00000413228	S66AL_HUMAN
ENSP00000321309	VCX2_HUMAN
ENSP00000219431	3MG_HUMAN
ENSP00000462046	PIRT_HUMAN
ENSP00000358967	OPSR_HUMAN
ENSP00000261917	HCN4_HUMAN
ENSP00000356425	UCHL5_HUMAN
ENSP00000424870	SRP19_HUMAN
ENSP00000247178	BAKOR_HUMAN
ENSP00000332679	CP2AD_HUMAN
ENSP00000441949	T2R14_HUMAN
ENSP00000286175	PPIL3_HUMAN
ENSP00000329466	SIR7_HUMAN
ENSP00000310593	MAP9_HUMAN
ENSP00000064724	CLD11_HUMAN
ENSP00000314129	TFE3_HUMAN
ENSP00000368190	NPHN_HUMAN
ENSP00000477515	DGKK_HUMAN
ENSP00000201586	ST2B1_HUMAN
ENSP00000280346	ODP2_HUMAN
ENSP00000249396	SIR2_HUMAN
ENSP00000451000	ZBTB1_HUMAN
ENSP00000478417	PP6R2_HUMAN
ENSP00000361965	ADA_HUMAN
ENSP00000356280	PHLA3_HUMAN
ENSP00000296292	RFT1_HUMAN
ENSP00000375778	LAMB3_HUMAN
ENSP00000169551	TIM21_HUMAN
ENSP00000166345	PCH2_HUMAN
ENSP00000435770	ASCL3_HUMAN
ENSP00000427951	CC160_HUMAN
ENSP00000272748	LNP_HUMAN
ENSP00000334958	CARL2_HUMAN
ENSP00000236959	PUR9_HUMAN
ENSP00000262585	DEND3_HUMAN
ENSP00000409924	AASD1_HUMAN
ENSP00000381958	KSR1_HUMAN
ENSP00000254801	IGJ_HUMAN
ENSP00000368273	MAGB2_HUMAN
ENSP00000221561	TLE5_HUMAN
ENSP00000386143	HEPN1_HUMAN
ENSP00000361502	HYI_HUMAN
ENSP00000406201	ZN160_HUMAN
ENSP00000204549	PDCD7_HUMAN
ENSP00000309012	OR9G1_HUMAN
ENSP00000357393	EFNA3_HUMAN
ENSP00000341489	SYDE1_HUMAN
ENSP00000475344	APJ_HUMAN
ENSP00000384966	IMP2L_HUMAN
ENSP00000351767	COKA1_HUMAN
ENSP00000366950	KRA92_HUMAN
ENSP00000485230	SPDE6_HUMAN
ENSP00000262811	MAST3_HUMAN
ENSP00000463653	RFOX3_HUMAN
ENSP00000335062	PDCD1_HUMAN
ENSP00000457243	NOL3_HUMAN
ENSP00000307674	CANT1_HUMAN
ENSP00000369081	TXND5_HUMAN
ENSP00000400591	RUXE_HUMAN
ENSP00000253413	VATE1_HUMAN
ENSP00000408288	PPR3E_HUMAN
ENSP00000221494	SF3A2_HUMAN
ENSP00000357733	PRR9_HUMAN
ENSP00000321330	R144A_HUMAN
ENSP00000360623	ORC1_HUMAN
ENSP00000463032	FA72C_HUMAN
ENSP00000339973	TBC28_HUMAN
ENSP00000295488	HELQ_HUMAN
ENSP00000352645	TYW1_HUMAN
ENSP00000355014	PJA1_HUMAN
ENSP00000262866	SLAP2_HUMAN
ENSP00000331369	BOLA3_HUMAN
ENSP00000345347	HMGB1_HUMAN
ENSP00000354451	IQGA3_HUMAN
ENSP00000323889	TRI25_HUMAN
ENSP00000394954	GSG1L_HUMAN
ENSP00000296545	IL15_HUMAN
ENSP00000328777	EFNA5_HUMAN
ENSP00000362206	KLHL4_HUMAN
ENSP00000265840	ELMD1_HUMAN
ENSP00000347277	RM52_HUMAN
ENSP00000334714	IGFN1_HUMAN
ENSP00000229390	SRSF9_HUMAN
ENSP00000265465	DPOA2_HUMAN
ENSP00000445440	PHKG1_HUMAN
ENSP00000211076	TRYD_HUMAN
ENSP00000291416	TRI62_HUMAN
ENSP00000363553	LPAR1_HUMAN
ENSP00000256906	HRH4_HUMAN
ENSP00000437783	LDHC_HUMAN
ENSP00000416125	ARH38_HUMAN
ENSP00000265245	LSG1_HUMAN
ENSP00000340361	AVR2B_HUMAN
ENSP00000348722	PUS7_HUMAN
ENSP00000316598	GTPB6_HUMAN
ENSP00000323858	DDX54_HUMAN
ENSP00000337907	MPP7_HUMAN
ENSP00000450527	HOP_HUMAN
ENSP00000369099	ADPRM_HUMAN
ENSP00000390204	HECA2_HUMAN
ENSP00000312624	TELT_HUMAN
ENSP00000380453	ERMIN_HUMAN
ENSP00000317327	UBS3A_HUMAN
ENSP00000360215	ZBP1_HUMAN
ENSP00000303987	TM223_HUMAN
ENSP00000264639	PSMD3_HUMAN
ENSP00000380869	RAB2B_HUMAN
ENSP00000357080	VSIG8_HUMAN
ENSP00000346275	PRA20_HUMAN
ENSP00000361076	RL7A_HUMAN
ENSP00000237264	TBPL1_HUMAN
ENSP00000294179	STX5_HUMAN
ENSP00000263461	WDR11_HUMAN
ENSP00000285298	RT17_HUMAN
ENSP00000394842	GRAN_HUMAN
ENSP00000366374	OR2J3_HUMAN
ENSP00000401831	ACSF2_HUMAN
ENSP00000356632	ABRAL_HUMAN
ENSP00000260363	KIF23_HUMAN
ENSP00000309189	SPERT_HUMAN
ENSP00000409952	VPS52_HUMAN
ENSP00000262120	TWSG1_HUMAN
ENSP00000297591	VIR_HUMAN
ENSP00000356265	NAV1_HUMAN
ENSP00000355609	CA131_HUMAN
ENSP00000318355	AQP10_HUMAN
ENSP00000328251	RIOX2_HUMAN
ENSP00000296529	TM144_HUMAN
ENSP00000337501	NRIP2_HUMAN
ENSP00000361285	UCK1_HUMAN
ENSP00000361811	T53G5_HUMAN
ENSP00000303427	PDS5A_HUMAN
ENSP00000483903	H2B1N_HUMAN
ENSP00000318147	EDEM3_HUMAN
ENSP00000273352	AGRG7_HUMAN
ENSP00000266744	ASCL1_HUMAN
ENSP00000218075	GLRA2_HUMAN
ENSP00000414851	ELP2_HUMAN
ENSP00000365884	TRI15_HUMAN
ENSP00000378292	K2C80_HUMAN
ENSP00000309767	NLRP6_HUMAN
ENSP00000320025	CACB2_HUMAN
ENSP00000296484	POC1A_HUMAN
ENSP00000414202	PP6R1_HUMAN
ENSP00000333097	FIGLA_HUMAN
ENSP00000371512	SGCZ_HUMAN
ENSP00000221418	ECH1_HUMAN
ENSP00000481699	A0A0C4DGW9_HUMAN
ENSP00000326200	ZBT11_HUMAN
ENSP00000313309	FUZZY_HUMAN
ENSP00000328720	FOXK1_HUMAN
ENSP00000330862	OPCM_HUMAN
ENSP00000333519	NCKX3_HUMAN
ENSP00000243056	HXC13_HUMAN
ENSP00000363999	RM50_HUMAN
ENSP00000418944	B4DSP0_HUMAN
ENSP00000233954	ILRL1_HUMAN
ENSP00000248706	RSLBB_HUMAN
ENSP00000385610	MEX3C_HUMAN
ENSP00000416330	BGH3_HUMAN
ENSP00000359297	NSDHL_HUMAN
ENSP00000346733	ACAP3_HUMAN
ENSP00000354490	AT1A2_HUMAN
ENSP00000323065	G45IP_HUMAN
ENSP00000266014	GL8D1_HUMAN
ENSP00000296657	AN33B_HUMAN
ENSP00000250693	NAR1_HUMAN
ENSP00000312284	SPESP_HUMAN
ENSP00000296333	H0Y2P9_HUMAN
ENSP00000359271	A6NFS0_HUMAN
ENSP00000358316	PKHS1_HUMAN
ENSP00000285402	ODFP1_HUMAN
ENSP00000485473	PRA18_HUMAN
ENSP00000377793	PRC1_HUMAN
ENSP00000289388	CATIP_HUMAN
ENSP00000481559	MRM1_HUMAN
ENSP00000265462	PRDX5_HUMAN
ENSP00000332788	ANO9_HUMAN
ENSP00000446058	SHD_HUMAN
ENSP00000255416	MYBPH_HUMAN
ENSP00000477908	CCL3_HUMAN
ENSP00000353249	CBPC5_HUMAN
ENSP00000322460	SCN4B_HUMAN
ENSP00000332162	SRARP_HUMAN
ENSP00000318868	GLYC_HUMAN
ENSP00000306906	RN181_HUMAN
ENSP00000367065	HES2_HUMAN
ENSP00000264094	LOXL3_HUMAN
ENSP00000463752	CXD3_HUMAN
ENSP00000329140	CR3L2_HUMAN
ENSP00000235345	S35D1_HUMAN
ENSP00000308279	CI131_HUMAN
ENSP00000257248	IF_HUMAN
ENSP00000444986	HCK_HUMAN
ENSP00000378712	IZUM4_HUMAN
ENSP00000246337	DCUP_HUMAN
ENSP00000269445	DYM_HUMAN
ENSP00000236877	NAC2_HUMAN
ENSP00000331298	UBAD2_HUMAN
ENSP00000273666	STB5L_HUMAN
ENSP00000362217	DACH2_HUMAN
ENSP00000002165	FUCO2_HUMAN
ENSP00000468348	MP2K6_HUMAN
ENSP00000357079	CFA45_HUMAN
ENSP00000300650	RN214_HUMAN
ENSP00000326340	A16L2_HUMAN
ENSP00000301529	OR8J3_HUMAN
ENSP00000432353	PBOV1_HUMAN
ENSP00000264051	NGEF_HUMAN
ENSP00000356807	TIPRL_HUMAN
ENSP00000354590	SFT2A_HUMAN
ENSP00000457466	CHD9_HUMAN
ENSP00000356169	EKI2_HUMAN
ENSP00000282276	SYMM_HUMAN
ENSP00000215862	MORC2_HUMAN
ENSP00000307513	MRC2_HUMAN
ENSP00000284311	GPR15_HUMAN
ENSP00000269053	SACA3_HUMAN
ENSP00000360797	CARD9_HUMAN
ENSP00000352510	TCPR2_HUMAN
ENSP00000216513	SIX4_HUMAN
ENSP00000363382	SUSD1_HUMAN
ENSP00000334294	TCFL5_HUMAN
ENSP00000343428	GPR18_HUMAN
ENSP00000317027	GCNT4_HUMAN
ENSP00000410852	T132C_HUMAN
ENSP00000354643	IOD1_HUMAN
ENSP00000078429	GNA11_HUMAN
ENSP00000418575	TAFA1_HUMAN
ENSP00000302051	ECEL1_HUMAN
ENSP00000274289	PLK2_HUMAN
ENSP00000415822	ATX1L_HUMAN
ENSP00000254657	PER2_HUMAN
ENSP00000481750	AP5S1_HUMAN
ENSP00000371577	MTMRC_HUMAN
ENSP00000311747	RBM14_HUMAN
ENSP00000477437	KCNJ6_HUMAN
ENSP00000247843	YETS4_HUMAN
ENSP00000354733	SBNO2_HUMAN
ENSP00000303822	A0A2C9F2M1_HUMAN
ENSP00000302719	KCAB3_HUMAN
ENSP00000222382	CP343_HUMAN
ENSP00000368952	STML3_HUMAN
ENSP00000360293	SRBS1_HUMAN
ENSP00000262525	ZN629_HUMAN
ENSP00000370503	CCM2_HUMAN
ENSP00000465432	L10K_HUMAN
ENSP00000338010	IL21R_HUMAN
ENSP00000359049	HENMT_HUMAN
ENSP00000381553	CFA53_HUMAN
ENSP00000247306	CTAG2_HUMAN
ENSP00000262207	CRLD1_HUMAN
ENSP00000466072	ZSA5B_HUMAN
ENSP00000386840	XIRP2_HUMAN
ENSP00000323952	A0A2C9F2M5_HUMAN
ENSP00000304467	THOP1_HUMAN
ENSP00000367787	DNLI3_HUMAN
ENSP00000251527	A0A499FIX8_HUMAN
ENSP00000392094	U5S1_HUMAN
ENSP00000298832	TTLL5_HUMAN
ENSP00000320924	WIPF2_HUMAN
ENSP00000306999	ESCO2_HUMAN
ENSP00000339404	ASCC1_HUMAN
ENSP00000366797	S22AC_HUMAN
ENSP00000299481	NAL14_HUMAN
ENSP00000341843	ETV7_HUMAN
ENSP00000288025	TMED6_HUMAN
ENSP00000421586	GG6L4_HUMAN
ENSP00000380713	RASF7_HUMAN
ENSP00000261369	SNX24_HUMAN
ENSP00000173898	TROP_HUMAN
ENSP00000355605	EXOC8_HUMAN
ENSP00000351338	PLXB1_HUMAN
ENSP00000334840	PNRC2_HUMAN
ENSP00000369755	C2C4B_HUMAN
ENSP00000364013	TEFF1_HUMAN
ENSP00000465231	H8Y6P7_HUMAN
ENSP00000278060	PAOX_HUMAN
ENSP00000263702	MECR_HUMAN
ENSP00000382794	R212B_HUMAN
ENSP00000349508	A0A2U3TZM0_HUMAN
ENSP00000358548	RASN_HUMAN
ENSP00000354416	CCL28_HUMAN
ENSP00000332887	QCR9_HUMAN
ENSP00000360138	LCOR_HUMAN
ENSP00000363254	DRGX_HUMAN
ENSP00000253270	S35D2_HUMAN
ENSP00000464317	MYH3_HUMAN
ENSP00000380081	S29A4_HUMAN
ENSP00000355623	CA198_HUMAN
ENSP00000343064	GOG8B_HUMAN
ENSP00000370719	ITSN1_HUMAN
ENSP00000400433	HNRPF_HUMAN
ENSP00000269586	ARL5C_HUMAN
ENSP00000368320	MAGB6_HUMAN
ENSP00000348510	TF3C1_HUMAN
ENSP00000387462	ZBT10_HUMAN
ENSP00000356065	IL20_HUMAN
ENSP00000415774	ZN732_HUMAN
ENSP00000450607	TIM_HUMAN
ENSP00000428619	UT14C_HUMAN
ENSP00000405987	LRRD1_HUMAN
ENSP00000412724	TCAF2_HUMAN
ENSP00000380165	ZN182_HUMAN
ENSP00000360777	INP5E_HUMAN
ENSP00000323714	I4E1B_HUMAN
ENSP00000259963	FA8A1_HUMAN
ENSP00000347719	TBCD_HUMAN
ENSP00000386962	CTSRG_HUMAN
ENSP00000354721	S26A1_HUMAN
ENSP00000261866	SPTCS_HUMAN
ENSP00000300456	S27A4_HUMAN
ENSP00000054650	THAP3_HUMAN
ENSP00000282892	MED21_HUMAN
ENSP00000377878	AT5G2_HUMAN
ENSP00000339208	DPP8_HUMAN
ENSP00000299638	GRL1A_HUMAN
ENSP00000378588	TIM9_HUMAN
ENSP00000281142	SCLT1_HUMAN
ENSP00000484658	H31_HUMAN
ENSP00000280362	PTPS_HUMAN
ENSP00000293973	NET3_HUMAN
ENSP00000363452	MA1C1_HUMAN
ENSP00000397881	PT117_HUMAN
ENSP00000360644	DPM1_HUMAN
ENSP00000367239	PTER_HUMAN
ENSP00000361467	DLG5_HUMAN
ENSP00000360141	GNAS1_HUMAN
ENSP00000225698	C1QBP_HUMAN
ENSP00000259392	COPT2_HUMAN
ENSP00000431443	KRA59_HUMAN
ENSP00000318820	PERT_HUMAN
ENSP00000477314	PCDBG_HUMAN
ENSP00000308893	SNED1_HUMAN
ENSP00000261332	ZNF24_HUMAN
ENSP00000354645	GPTC3_HUMAN
ENSP00000264400	RGF1B_HUMAN
ENSP00000379836	ZNT5_HUMAN
ENSP00000357315	GON4L_HUMAN
ENSP00000363616	EDEM2_HUMAN
ENSP00000260649	SLC31_HUMAN
ENSP00000277942	NPFF1_HUMAN
ENSP00000379353	SIA8A_HUMAN
ENSP00000386137	O2A14_HUMAN
ENSP00000440440	MCAF1_HUMAN
ENSP00000363873	OXLD1_HUMAN
ENSP00000358147	CACL1_HUMAN
ENSP00000307142	TEX37_HUMAN
ENSP00000421377	PIEZ2_HUMAN
ENSP00000328928	HXB4_HUMAN
ENSP00000218006	GUC2F_HUMAN
ENSP00000366565	VPS28_HUMAN
ENSP00000269221	RMC1_HUMAN
ENSP00000315299	CALL3_HUMAN
ENSP00000357238	TSACC_HUMAN
ENSP00000334650	KCNKI_HUMAN
ENSP00000441726	F5GWQ8_HUMAN
ENSP00000278742	ST14_HUMAN
ENSP00000258052	NSMA_HUMAN
ENSP00000367309	AOFB_HUMAN
ENSP00000360034	PAIRB_HUMAN
ENSP00000325376	HNRPM_HUMAN
ENSP00000301585	ICT1_HUMAN
ENSP00000455948	CL19A_HUMAN
ENSP00000226105	MOG1_HUMAN
ENSP00000308895	S19A1_HUMAN
ENSP00000441405	ZN664_HUMAN
ENSP00000356992	RHG30_HUMAN
ENSP00000345793	Z3H7B_HUMAN
ENSP00000361868	ZMAT1_HUMAN
ENSP00000314724	LIPB1_HUMAN
ENSP00000377033	AT5G1_HUMAN
ENSP00000337363	ZN394_HUMAN
ENSP00000380440	INSR2_HUMAN
ENSP00000306190	SLAF1_HUMAN
ENSP00000354681	OPA1_HUMAN
ENSP00000268793	DPEP3_HUMAN
ENSP00000436450	T2R46_HUMAN
ENSP00000228872	CDN1B_HUMAN
ENSP00000266022	RBM6_HUMAN
ENSP00000314733	TOLIP_HUMAN
ENSP00000396593	DYTN_HUMAN
ENSP00000397927	F6VRR5_HUMAN
ENSP00000443957	ZN580_HUMAN
ENSP00000322640	S31E1_HUMAN
ENSP00000245479	SOX9_HUMAN
ENSP00000366275	CNNM4_HUMAN
ENSP00000377547	CCNJL_HUMAN
ENSP00000225275	PERM_HUMAN
ENSP00000417378	VATF_HUMAN
ENSP00000479064	A0A087WV05_HUMAN
ENSP00000339933	KPYR_HUMAN
ENSP00000323782	CCD43_HUMAN
ENSP00000480489	PDZD7_HUMAN
ENSP00000242994	NDF4_HUMAN
ENSP00000336729	GLT16_HUMAN
ENSP00000237596	PKD2_HUMAN
ENSP00000394770	CMYA5_HUMAN
ENSP00000360280	DAB1_HUMAN
ENSP00000478220	GGNB2_HUMAN
ENSP00000270139	INAR1_HUMAN
ENSP00000315557	TEX44_HUMAN
ENSP00000304408	CO3A1_HUMAN
ENSP00000350512	CSN5_HUMAN
ENSP00000444408	AAAT_HUMAN
ENSP00000219301	PRS54_HUMAN
ENSP00000323587	ITLN1_HUMAN
ENSP00000354794	ZN521_HUMAN
ENSP00000348460	NPAS3_HUMAN
ENSP00000379183	PANX2_HUMAN
ENSP00000377257	SIA4B_HUMAN
ENSP00000479679	A0A087WVT8_HUMAN
ENSP00000305702	KCD19_HUMAN
ENSP00000266544	NDUA9_HUMAN
ENSP00000206020	SPAG7_HUMAN
ENSP00000364613	CAR19_HUMAN
ENSP00000480355	CX049_HUMAN
ENSP00000365005	M3K19_HUMAN
ENSP00000443551	KIME_HUMAN
ENSP00000420477	NACAD_HUMAN
ENSP00000359787	IF44L_HUMAN
ENSP00000485664	A0A096LPK6_HUMAN
ENSP00000321360	CN177_HUMAN
ENSP00000264463	CAD10_HUMAN
ENSP00000193322	OSTM1_HUMAN
ENSP00000386125	J3KQ26_HUMAN
ENSP00000377456	REG3A_HUMAN
ENSP00000450895	V9GXZ4_HUMAN
ENSP00000370021	CNTLN_HUMAN
ENSP00000265717	KAP3_HUMAN
ENSP00000216223	IL2RB_HUMAN
ENSP00000327323	THNS2_HUMAN
ENSP00000298681	S39A2_HUMAN
ENSP00000477802	CA158_HUMAN
ENSP00000255499	RN128_HUMAN
ENSP00000343172	PRR27_HUMAN
ENSP00000381932	DYR1A_HUMAN
ENSP00000370966	QORL1_HUMAN
ENSP00000485635	T53G3_HUMAN
ENSP00000216802	PSME2_HUMAN
ENSP00000375076	KRA44_HUMAN
ENSP00000293829	FGF11_HUMAN
ENSP00000335384	ZPBP2_HUMAN
ENSP00000256383	IF2A_HUMAN
