From	To
9606.ENSP00000286070	RBM45_HUMAN
9606.ENSP00000419325	SUCB2_HUMAN
9606.ENSP00000376902	BANP_HUMAN
9606.ENSP00000467266	CX6B2_HUMAN
9606.ENSP00000239926	MYOTI_HUMAN
9606.ENSP00000329452	ODC_HUMAN
9606.ENSP00000327994	TRI50_HUMAN
9606.ENSP00000347883	PKHA7_HUMAN
9606.ENSP00000311862	M4A10_HUMAN
9606.ENSP00000226225	BACD2_HUMAN
9606.ENSP00000438875	NOVA1_HUMAN
9606.ENSP00000295448	GNPI2_HUMAN
9606.ENSP00000358867	GNAI3_HUMAN
9606.ENSP00000381298	LONF1_HUMAN
9606.ENSP00000432218	F8W1V1_HUMAN
9606.ENSP00000251642	DHX58_HUMAN
9606.ENSP00000164133	2A5B_HUMAN
9606.ENSP00000282326	ZSCA1_HUMAN
9606.ENSP00000334448	GBG2_HUMAN
9606.ENSP00000379434	KLH28_HUMAN
9606.ENSP00000474071	CC120_HUMAN
9606.ENSP00000311196	NPAS4_HUMAN
9606.ENSP00000368459	NUFP1_HUMAN
9606.ENSP00000348772	PITM1_HUMAN
9606.ENSP00000312082	TLR8_HUMAN
9606.ENSP00000272321	FRITZ_HUMAN
9606.ENSP00000335153	HS90A_HUMAN
9606.ENSP00000480158	RPB1_HUMAN
9606.ENSP00000334223	S36A2_HUMAN
9606.ENSP00000380033	DDX17_HUMAN
9606.ENSP00000381005	KR123_HUMAN
9606.ENSP00000328359	DEF3_HUMAN
9606.ENSP00000384408	PARG_HUMAN
9606.ENSP00000353030	PTPRF_HUMAN
9606.ENSP00000349022	ARC_HUMAN
9606.ENSP00000380557	AKP8L_HUMAN
9606.ENSP00000424226	TEN3_HUMAN
9606.ENSP00000365312	ABI1_HUMAN
9606.ENSP00000483599	SPON2_HUMAN
9606.ENSP00000375629	LIRB2_HUMAN
9606.ENSP00000478725	HV311_HUMAN
9606.ENSP00000040877	TARB1_HUMAN
9606.ENSP00000263461	WDR11_HUMAN
9606.ENSP00000376840	PMGE_HUMAN
9606.ENSP00000392065	REPS1_HUMAN
9606.ENSP00000297161	BMPER_HUMAN
9606.ENSP00000389715	KSR2_HUMAN
9606.ENSP00000472710	M0R2P5_HUMAN
9606.ENSP00000330221	SPSB1_HUMAN
9606.ENSP00000295727	FEV_HUMAN
9606.ENSP00000285735	RHOC_HUMAN
9606.ENSP00000215727	HEP2_HUMAN
9606.ENSP00000322832	ROGDI_HUMAN
9606.ENSP00000372576	CC178_HUMAN
9606.ENSP00000438757	PR20A_HUMAN
9606.ENSP00000309007	THAP6_HUMAN
9606.ENSP00000337226	CDCA4_HUMAN
9606.ENSP00000364805	HS71L_HUMAN
9606.ENSP00000220058	FMT_HUMAN
9606.ENSP00000300145	ATP23_HUMAN
9606.ENSP00000367649	OR5DG_HUMAN
9606.ENSP00000370891	STK35_HUMAN
9606.ENSP00000329318	T121B_HUMAN
9606.ENSP00000427114	FYB1_HUMAN
9606.ENSP00000277942	NPFF1_HUMAN
9606.ENSP00000374377	RFLA_HUMAN
9606.ENSP00000223029	AIMP2_HUMAN
9606.ENSP00000362814	SERC2_HUMAN
9606.ENSP00000483621	CABYR_HUMAN
9606.ENSP00000367686	PAK5_HUMAN
9606.ENSP00000367972	ID4_HUMAN
9606.ENSP00000240587	TSH3_HUMAN
9606.ENSP00000457539	APOBR_HUMAN
9606.ENSP00000436450	T2R46_HUMAN
9606.ENSP00000373828	CC154_HUMAN
9606.ENSP00000324944	MBOA1_HUMAN
9606.ENSP00000309597	M3K11_HUMAN
9606.ENSP00000338352	NUDT4_HUMAN
9606.ENSP00000217159	SO4A1_HUMAN
9606.ENSP00000363482	WAC2C_HUMAN
9606.ENSP00000480556	ZN718_HUMAN
9606.ENSP00000347581	AGK_HUMAN
9606.ENSP00000466285	NAL11_HUMAN
9606.ENSP00000288710	DRC1_HUMAN
9606.ENSP00000379689	ZN765_HUMAN
9606.ENSP00000314196	MBOA4_HUMAN
9606.ENSP00000456340	DET1_HUMAN
9606.ENSP00000323555	OR8K3_HUMAN
9606.ENSP00000403042	PHTF2_HUMAN
9606.ENSP00000300184	MS4A7_HUMAN
9606.ENSP00000257189	DSG3_HUMAN
9606.ENSP00000484618	ELA_HUMAN
9606.ENSP00000480558	CL3L1_HUMAN
9606.ENSP00000299824	PP16B_HUMAN
9606.ENSP00000363452	MA1C1_HUMAN
9606.ENSP00000300051	LDHD_HUMAN
9606.ENSP00000354876	COX2_HUMAN
9606.ENSP00000255266	PDE6A_HUMAN
9606.ENSP00000356172	SOX13_HUMAN
9606.ENSP00000250974	K7EQ25_HUMAN
9606.ENSP00000356470	SWT1_HUMAN
9606.ENSP00000361467	DLG5_HUMAN
9606.ENSP00000455298	GOG8S_HUMAN
9606.ENSP00000411140	NPB15_HUMAN
9606.ENSP00000370741	THUM1_HUMAN
9606.ENSP00000366234	IL31_HUMAN
9606.ENSP00000361556	CI050_HUMAN
9606.ENSP00000378635	DRP2_HUMAN
9606.ENSP00000421917	HMGX3_HUMAN
9606.ENSP00000401335	CP090_HUMAN
9606.ENSP00000292596	LTC4S_HUMAN
9606.ENSP00000359567	SOX3_HUMAN
9606.ENSP00000358482	IGSF2_HUMAN
9606.ENSP00000220822	GDAP1_HUMAN
9606.ENSP00000307515	OR9G4_HUMAN
9606.ENSP00000469689	SHAN2_HUMAN
9606.ENSP00000386200	FOXP2_HUMAN
9606.ENSP00000310521	SC22A_HUMAN
9606.ENSP00000468678	PKHH3_HUMAN
9606.ENSP00000257248	IF_HUMAN
9606.ENSP00000330269	RES18_HUMAN
9606.ENSP00000292079	ATNG_HUMAN
9606.ENSP00000229214	KRR1_HUMAN
9606.ENSP00000433427	ARL15_HUMAN
9606.ENSP00000357709	S10A6_HUMAN
9606.ENSP00000323313	PDIA5_HUMAN
9606.ENSP00000318604	MAF1_HUMAN
9606.ENSP00000320663	EMAL4_HUMAN
9606.ENSP00000324127	PSD3_HUMAN
9606.ENSP00000331111	RPA12_HUMAN
9606.ENSP00000479113	GBRG3_HUMAN
9606.ENSP00000380904	RPC4_HUMAN
9606.ENSP00000381282	SELS_HUMAN
9606.ENSP00000352516	DNMT1_HUMAN
9606.ENSP00000359100	AMY1_HUMAN
9606.ENSP00000361544	N62CL_HUMAN
9606.ENSP00000231121	HAND1_HUMAN
9606.ENSP00000439427	ZN133_HUMAN
9606.ENSP00000376506	PDC10_HUMAN
9606.ENSP00000331167	LMTD2_HUMAN
9606.ENSP00000351209	EPHA2_HUMAN
9606.ENSP00000218249	RB40L_HUMAN
9606.ENSP00000450436	MMSA_HUMAN
9606.ENSP00000317175	PLHD1_HUMAN
9606.ENSP00000433761	M4A14_HUMAN
9606.ENSP00000327336	PGS1_HUMAN
9606.ENSP00000251102	CNGB1_HUMAN
9606.ENSP00000295728	CRBA2_HUMAN
9606.ENSP00000442460	PTK6_HUMAN
9606.ENSP00000400391	OZF_HUMAN
9606.ENSP00000367049	MZT1_HUMAN
9606.ENSP00000343126	ARI3B_HUMAN
9606.ENSP00000484862	ADA29_HUMAN
9606.ENSP00000339161	AIDA_HUMAN
9606.ENSP00000040738	BD1L1_HUMAN
9606.ENSP00000326699	CLGN_HUMAN
9606.ENSP00000281543	GUF1_HUMAN
9606.ENSP00000385021	FANCL_HUMAN
9606.ENSP00000294338	PDZ1I_HUMAN
9606.ENSP00000398083	TM243_HUMAN
9606.ENSP00000350256	CCR9_HUMAN
9606.ENSP00000254051	TENS4_HUMAN
9606.ENSP00000249887	ACKR4_HUMAN
9606.ENSP00000440674	PHC1_HUMAN
9606.ENSP00000357452	PMVK_HUMAN
9606.ENSP00000264246	CD80_HUMAN
9606.ENSP00000306105	CEP89_HUMAN
9606.ENSP00000303920	MZB1_HUMAN
9606.ENSP00000370485	NLGNX_HUMAN
9606.ENSP00000357256	V9GYH6_HUMAN
9606.ENSP00000357702	S10A3_HUMAN
9606.ENSP00000338783	CHST5_HUMAN
9606.ENSP00000006015	HXA11_HUMAN
9606.ENSP00000310796	THAP2_HUMAN
9606.ENSP00000382507	UBX2B_HUMAN
9606.ENSP00000424838	DDX4_HUMAN
9606.ENSP00000357722	S10A8_HUMAN
9606.ENSP00000365536	A6NM71_HUMAN
9606.ENSP00000371682	DCA16_HUMAN
9606.ENSP00000375267	RTL8A_HUMAN
9606.ENSP00000347834	FBXL3_HUMAN
9606.ENSP00000419471	RA51B_HUMAN
9606.ENSP00000264716	FOSL2_HUMAN
9606.ENSP00000368496	B3GT6_HUMAN
9606.ENSP00000393198	E9PB28_HUMAN
9606.ENSP00000255688	PLAT4_HUMAN
9606.ENSP00000445831	H2B2F_HUMAN
9606.ENSP00000419160	SPT45_HUMAN
9606.ENSP00000331734	DSCR6_HUMAN
9606.ENSP00000310841	FBX31_HUMAN
9606.ENSP00000361569	IER5L_HUMAN
9606.ENSP00000264982	CEP70_HUMAN
9606.ENSP00000258169	MPH6_HUMAN
9606.ENSP00000368793	RF1M_HUMAN
9606.ENSP00000351706	GLPK2_HUMAN
9606.ENSP00000329507	CLM6_HUMAN
9606.ENSP00000338010	IL21R_HUMAN
9606.ENSP00000313169	NPHP1_HUMAN
9606.ENSP00000399403	KLC2_HUMAN
9606.ENSP00000377545	C1QT2_HUMAN
9606.ENSP00000316114	SGF29_HUMAN
9606.ENSP00000423541	SV2C_HUMAN
9606.ENSP00000266088	SC5A1_HUMAN
9606.ENSP00000419663	CC50C_HUMAN
9606.ENSP00000425786	CF299_HUMAN
9606.ENSP00000339238	KR241_HUMAN
9606.ENSP00000265062	RAB7A_HUMAN
9606.ENSP00000420465	RN182_HUMAN
9606.ENSP00000419692	RXRA_HUMAN
9606.ENSP00000268876	UN45B_HUMAN
9606.ENSP00000332185	OR2V2_HUMAN
9606.ENSP00000361791	ZFP69_HUMAN
9606.ENSP00000393511	ABLM2_HUMAN
9606.ENSP00000209540	OR1I1_HUMAN
9606.ENSP00000264990	ACD11_HUMAN
9606.ENSP00000258742	NUP42_HUMAN
9606.ENSP00000449328	RLA0_HUMAN
9606.ENSP00000445247	PRR19_HUMAN
9606.ENSP00000255882	PI4KA_HUMAN
9606.ENSP00000380762	TEN1L_HUMAN
9606.ENSP00000333980	ZN749_HUMAN
9606.ENSP00000303212	SEM3E_HUMAN
9606.ENSP00000264710	RAB10_HUMAN
9606.ENSP00000405674	NOL7_HUMAN
9606.ENSP00000354733	SBNO2_HUMAN
9606.ENSP00000484634	TILB_HUMAN
9606.ENSP00000305077	ZN439_HUMAN
9606.ENSP00000337008	ZN644_HUMAN
9606.ENSP00000350937	TES_HUMAN
9606.ENSP00000246657	CCR7_HUMAN
9606.ENSP00000350686	ANKL2_HUMAN
9606.ENSP00000386884	CXCR4_HUMAN
9606.ENSP00000216468	TMED8_HUMAN
9606.ENSP00000380349	CAN3_HUMAN
9606.ENSP00000277517	IDI2_HUMAN
9606.ENSP00000353942	DRC7_HUMAN
9606.ENSP00000369371	EQTN_HUMAN
9606.ENSP00000405950	KCC1B_HUMAN
9606.ENSP00000372221	SPB5_HUMAN
9606.ENSP00000374309	LAMA1_HUMAN
9606.ENSP00000359674	CJ062_HUMAN
9606.ENSP00000440689	CP2E1_HUMAN
9606.ENSP00000019317	RBP1_HUMAN
9606.ENSP00000362340	NCDN_HUMAN
9606.ENSP00000341141	SN_HUMAN
9606.ENSP00000379512	MGST1_HUMAN
9606.ENSP00000320081	DIK2A_HUMAN
9606.ENSP00000293443	F1712_HUMAN
9606.ENSP00000301634	KITH_HUMAN
9606.ENSP00000344162	ZN136_HUMAN
9606.ENSP00000226796	GAR1_HUMAN
9606.ENSP00000290759	ISL2_HUMAN
9606.ENSP00000278379	EAA2_HUMAN
9606.ENSP00000281017	TMM18_HUMAN
9606.ENSP00000265909	SNX19_HUMAN
9606.ENSP00000226021	CCG1_HUMAN
9606.ENSP00000374292	CCD57_HUMAN
9606.ENSP00000284273	UBS3B_HUMAN
9606.ENSP00000483965	TBC3E_HUMAN
9606.ENSP00000362525	UD17_HUMAN
9606.ENSP00000335566	KR211_HUMAN
9606.ENSP00000250535	CDO1_HUMAN
9606.ENSP00000336775	SYNEM_HUMAN
9606.ENSP00000312385	EVX2_HUMAN
9606.ENSP00000325978	LRC31_HUMAN
9606.ENSP00000329668	SHC4_HUMAN
9606.ENSP00000365272	DLG2_HUMAN
9606.ENSP00000398617	F71E2_HUMAN
9606.ENSP00000315299	CALL3_HUMAN
9606.ENSP00000444561	TM14C_HUMAN
9606.ENSP00000360522	RET4_HUMAN
9606.ENSP00000346414	LRIQ3_HUMAN
9606.ENSP00000476145	FRK_HUMAN
9606.ENSP00000449756	S38A1_HUMAN
9606.ENSP00000353132	DMBX1_HUMAN
9606.ENSP00000349436	ADA15_HUMAN
9606.ENSP00000460665	CCER2_HUMAN
9606.ENSP00000464317	MYH3_HUMAN
9606.ENSP00000376808	CUL5_HUMAN
9606.ENSP00000403397	ZDH17_HUMAN
9606.ENSP00000471604	TX13A_HUMAN
9606.ENSP00000295683	CXCR1_HUMAN
9606.ENSP00000376889	Q32Q12_HUMAN
9606.ENSP00000338774	BC11A_HUMAN
9606.ENSP00000386796	SCN7A_HUMAN
9606.ENSP00000358548	RASN_HUMAN
9606.ENSP00000339587	GSDME_HUMAN
9606.ENSP00000363921	PARD3_HUMAN
9606.ENSP00000304987	BFSP2_HUMAN
9606.ENSP00000357645	F229B_HUMAN
9606.ENSP00000353444	RAB5B_HUMAN
9606.ENSP00000259229	CC115_HUMAN
9606.ENSP00000365253	LRC38_HUMAN
9606.ENSP00000314976	I20RA_HUMAN
9606.ENSP00000266581	AMGO2_HUMAN
9606.ENSP00000356790	AT1B1_HUMAN
9606.ENSP00000379804	OSB10_HUMAN
9606.ENSP00000259037	NDUB5_HUMAN
9606.ENSP00000360244	CA087_HUMAN
9606.ENSP00000371126	NTM2A_HUMAN
9606.ENSP00000413049	S2548_HUMAN
9606.ENSP00000263368	BLVRB_HUMAN
9606.ENSP00000316861	B7Z613_HUMAN
9606.ENSP00000482232	A0A087WYZ4_HUMAN
9606.ENSP00000429148	ZN674_HUMAN
9606.ENSP00000441823	SALL3_HUMAN
9606.ENSP00000361471	ASSY_HUMAN
9606.ENSP00000383226	KR101_HUMAN
9606.ENSP00000329213	SIVA_HUMAN
9606.ENSP00000477455	NMDE2_HUMAN
9606.ENSP00000317232	FKB10_HUMAN
9606.ENSP00000373193	OR5K1_HUMAN
9606.ENSP00000383118	CDC42_HUMAN
9606.ENSP00000375639	TFPT_HUMAN
9606.ENSP00000427428	F218A_HUMAN
9606.ENSP00000345997	DMPK_HUMAN
9606.ENSP00000361929	GT253_HUMAN
9606.ENSP00000315064	MAGF1_HUMAN
9606.ENSP00000260102	RM15_HUMAN
9606.ENSP00000064778	F168A_HUMAN
9606.ENSP00000297316	SOX17_HUMAN
9606.ENSP00000346484	MAK_HUMAN
9606.ENSP00000370376	DUT_HUMAN
9606.ENSP00000163416	GOGA5_HUMAN
9606.ENSP00000451406	H17B6_HUMAN
9606.ENSP00000329117	AMER1_HUMAN
9606.ENSP00000377115	LIPT_HUMAN
9606.ENSP00000261234	RXLT1_HUMAN
9606.ENSP00000276943	IFNK_HUMAN
9606.ENSP00000262738	CELR1_HUMAN
9606.ENSP00000216341	GRAB_HUMAN
9606.ENSP00000391490	AGR2_HUMAN
9606.ENSP00000377051	ANR42_HUMAN
9606.ENSP00000354519	SAC2_HUMAN
9606.ENSP00000382590	A8MUN0_HUMAN
9606.ENSP00000276914	PLIN2_HUMAN
9606.ENSP00000274963	FGD2_HUMAN
9606.ENSP00000386444	ARRS_HUMAN
9606.ENSP00000409964	CFA97_HUMAN
9606.ENSP00000301587	ATP5H_HUMAN
9606.ENSP00000292852	FBX17_HUMAN
9606.ENSP00000353742	KR261_HUMAN
9606.ENSP00000307241	ODPB_HUMAN
9606.ENSP00000366330	KLF9_HUMAN
9606.ENSP00000242462	NGN3_HUMAN
9606.ENSP00000439807	MPDZ_HUMAN
9606.ENSP00000330200	BTNL9_HUMAN
9606.ENSP00000274643	MYLK4_HUMAN
9606.ENSP00000296464	HS74L_HUMAN
9606.ENSP00000379008	SC5AA_HUMAN
9606.ENSP00000278903	EI24_HUMAN
9606.ENSP00000333666	MTND_HUMAN
9606.ENSP00000451752	SPTB1_HUMAN
9606.ENSP00000238721	QORX_HUMAN
9606.ENSP00000377771	SIPA1_HUMAN
9606.ENSP00000296161	DTX3L_HUMAN
9606.ENSP00000262888	KCNN4_HUMAN
9606.ENSP00000297873	MET27_HUMAN
9606.ENSP00000444596	MYCB2_HUMAN
9606.ENSP00000478600	P3H3_HUMAN
9606.ENSP00000260130	SDCB1_HUMAN
9606.ENSP00000348300	BTG4_HUMAN
9606.ENSP00000254654	ILKAP_HUMAN
9606.ENSP00000297267	FNDC1_HUMAN
9606.ENSP00000470034	NOSIP_HUMAN
9606.ENSP00000359579	K7EP71_HUMAN
9606.ENSP00000293778	CXL16_HUMAN
9606.ENSP00000332288	TRI61_HUMAN
9606.ENSP00000369438	KR10A_HUMAN
9606.ENSP00000377536	PTTG1_HUMAN
9606.ENSP00000377970	AHSA2_HUMAN
9606.ENSP00000386499	PRR35_HUMAN
9606.ENSP00000383808	CCD18_HUMAN
9606.ENSP00000347810	D107A_HUMAN
9606.ENSP00000307951	HIG2B_HUMAN
9606.ENSP00000263212	PPM1F_HUMAN
9606.ENSP00000245816	CLPP_HUMAN
9606.ENSP00000292574	CC105_HUMAN
9606.ENSP00000402608	CPSM_HUMAN
9606.ENSP00000344871	MYO1F_HUMAN
9606.ENSP00000301280	CAF1A_HUMAN
9606.ENSP00000392316	IFRD2_HUMAN
9606.ENSP00000382987	Z705B_HUMAN
9606.ENSP00000358719	MAOX_HUMAN
9606.ENSP00000445868	BCL7A_HUMAN
9606.ENSP00000481244	PLM_HUMAN
9606.ENSP00000366789	LBX2_HUMAN
9606.ENSP00000430918	CA210_HUMAN
9606.ENSP00000321259	TALDO_HUMAN
9606.ENSP00000295171	CC74A_HUMAN
9606.ENSP00000343782	ADRB3_HUMAN
9606.ENSP00000365745	H0YCD9_HUMAN
9606.ENSP00000331901	EF1G_HUMAN
9606.ENSP00000361914	SCOT2_HUMAN
9606.ENSP00000391481	TKT_HUMAN
9606.ENSP00000320401	UDB17_HUMAN
9606.ENSP00000361626	YBOX1_HUMAN
9606.ENSP00000382731	ADA2_HUMAN
9606.ENSP00000312208	OR5M3_HUMAN
9606.ENSP00000326804	CUL1_HUMAN
9606.ENSP00000480091	NRK2_HUMAN
9606.ENSP00000358997	IRAK1_HUMAN
9606.ENSP00000274458	COMDA_HUMAN
9606.ENSP00000433999	RINI_HUMAN
9606.ENSP00000372210	BET1L_HUMAN
9606.ENSP00000401277	HAKAI_HUMAN
9606.ENSP00000333326	TBA8_HUMAN
9606.ENSP00000334319	PCLO_HUMAN
9606.ENSP00000411004	XG_HUMAN
9606.ENSP00000274181	ATS16_HUMAN
9606.ENSP00000261405	VWF_HUMAN
9606.ENSP00000384434	ZGLP1_HUMAN
9606.ENSP00000312250	ADPGK_HUMAN
9606.ENSP00000226319	JADE1_HUMAN
9606.ENSP00000465930	GALK1_HUMAN
9606.ENSP00000373047	O12D2_HUMAN
9606.ENSP00000300747	TRI68_HUMAN
9606.ENSP00000362768	RBL1_HUMAN
9606.ENSP00000249501	HXD10_HUMAN
9606.ENSP00000398596	TAM41_HUMAN
9606.ENSP00000356981	UBP21_HUMAN
9606.ENSP00000430271	ETV3L_HUMAN
9606.ENSP00000372281	KR222_HUMAN
9606.ENSP00000363139	C16L2_HUMAN
9606.ENSP00000222725	LFNG_HUMAN
9606.ENSP00000255304	USPL1_HUMAN
9606.ENSP00000324277	APLD1_HUMAN
9606.ENSP00000380594	BPIFC_HUMAN
9606.ENSP00000361186	PRPK_HUMAN
9606.ENSP00000300954	PCSK4_HUMAN
9606.ENSP00000295899	THOC7_HUMAN
9606.ENSP00000479444	CJ142_HUMAN
9606.ENSP00000379898	ARL4A_HUMAN
9606.ENSP00000298283	RL10L_HUMAN
9606.ENSP00000369786	PIR_HUMAN
9606.ENSP00000473153	ERVV1_HUMAN
9606.ENSP00000306100	AMD_HUMAN
9606.ENSP00000342336	F180A_HUMAN
9606.ENSP00000388566	CASP4_HUMAN
9606.ENSP00000225724	GOSR1_HUMAN
9606.ENSP00000265720	DUS4L_HUMAN
9606.ENSP00000386616	ZC12D_HUMAN
9606.ENSP00000295228	INHBB_HUMAN
9606.ENSP00000338276	CRIS1_HUMAN
9606.ENSP00000220429	GABP1_HUMAN
9606.ENSP00000349016	PEX14_HUMAN
9606.ENSP00000226247	FOXN1_HUMAN
9606.ENSP00000381760	IQCF6_HUMAN
9606.ENSP00000308741	CLOCK_HUMAN
9606.ENSP00000345243	SIG10_HUMAN
9606.ENSP00000268655	ZN174_HUMAN
9606.ENSP00000364403	UBR4_HUMAN
9606.ENSP00000262948	MP2K2_HUMAN
9606.ENSP00000435373	CCNJ_HUMAN
9606.ENSP00000429367	FA92A_HUMAN
9606.ENSP00000359729	SL9A6_HUMAN
9606.ENSP00000249923	COPB_HUMAN
9606.ENSP00000263800	LTK_HUMAN
9606.ENSP00000307280	MYL1_HUMAN
9606.ENSP00000451851	I27L1_HUMAN
9606.ENSP00000440190	TDRD3_HUMAN
9606.ENSP00000307822	NPFF2_HUMAN
9606.ENSP00000359521	SLIK2_HUMAN
9606.ENSP00000264995	RM03_HUMAN
9606.ENSP00000265753	IF4H_HUMAN
9606.ENSP00000382863	CHD8_HUMAN
9606.ENSP00000318770	AQP11_HUMAN
9606.ENSP00000379174	DPOLM_HUMAN
9606.ENSP00000481006	MYPR_HUMAN
9606.ENSP00000264036	MUC18_HUMAN
9606.ENSP00000388275	CBPC3_HUMAN
9606.ENSP00000381992	SEPT7_HUMAN
9606.ENSP00000298532	SNPC4_HUMAN
9606.ENSP00000222305	USF2_HUMAN
9606.ENSP00000325564	SYCN_HUMAN
9606.ENSP00000333837	RM12_HUMAN
9606.ENSP00000469958	ZN626_HUMAN
9606.ENSP00000355893	ZNT10_HUMAN
9606.ENSP00000383973	MTA3_HUMAN
9606.ENSP00000282507	UD3A2_HUMAN
9606.ENSP00000337691	MK15_HUMAN
9606.ENSP00000216297	SP16H_HUMAN
9606.ENSP00000353048	TCPQM_HUMAN
9606.ENSP00000292180	FAD1_HUMAN
9606.ENSP00000361726	WF10A_HUMAN
9606.ENSP00000405423	HHATL_HUMAN
9606.ENSP00000342681	CD5_HUMAN
9606.ENSP00000469223	HSFX1_HUMAN
9606.ENSP00000296333	PIGX_HUMAN
9606.ENSP00000252456	CNN1_HUMAN
9606.ENSP00000419751	GGTL2_HUMAN
9606.ENSP00000278935	CE164_HUMAN
9606.ENSP00000299162	FOXN4_HUMAN
9606.ENSP00000314518	LYSM3_HUMAN
9606.ENSP00000348753	SPRE2_HUMAN
9606.ENSP00000478104	VP13D_HUMAN
9606.ENSP00000354901	CXCL9_HUMAN
9606.ENSP00000357177	ARHGB_HUMAN
9606.ENSP00000322159	ATG4C_HUMAN
9606.ENSP00000268679	MTG16_HUMAN
9606.ENSP00000282466	IGS10_HUMAN
9606.ENSP00000389009	CRNS1_HUMAN
9606.ENSP00000271234	FBP1L_HUMAN
9606.ENSP00000337623	RNH2B_HUMAN
9606.ENSP00000355050	CTBL1_HUMAN
9606.ENSP00000410545	ZN814_HUMAN
9606.ENSP00000329127	KPCL_HUMAN
9606.ENSP00000444278	TMG1_HUMAN
9606.ENSP00000347046	PDE5A_HUMAN
9606.ENSP00000480836	B2L13_HUMAN
9606.ENSP00000295095	RHG15_HUMAN
9606.ENSP00000386962	CTSRG_HUMAN
9606.ENSP00000444411	FRPD1_HUMAN
9606.ENSP00000295886	NKX61_HUMAN
9606.ENSP00000321455	MICU3_HUMAN
9606.ENSP00000238558	GSC_HUMAN
9606.ENSP00000251810	RIR2B_HUMAN
9606.ENSP00000350102	TOR4A_HUMAN
9606.ENSP00000221452	RELB_HUMAN
9606.ENSP00000483489	NTM1A_HUMAN
9606.ENSP00000305682	RM39_HUMAN
9606.ENSP00000358886	AT7L2_HUMAN
9606.ENSP00000253807	PCDC1_HUMAN
9606.ENSP00000296417	H2AZ_HUMAN
9606.ENSP00000332887	QCR9_HUMAN
9606.ENSP00000283547	TEX29_HUMAN
9606.ENSP00000355927	KS6C1_HUMAN
9606.ENSP00000384048	PAXI1_HUMAN
9606.ENSP00000326305	MCAT_HUMAN
9606.ENSP00000477654	LAS2_HUMAN
9606.ENSP00000263160	VGLU2_HUMAN
9606.ENSP00000346671	FYN_HUMAN
9606.ENSP00000362027	TRM2_HUMAN
9606.ENSP00000261751	ACHB4_HUMAN
9606.ENSP00000417764	ALG2_HUMAN
9606.ENSP00000216366	AP4S1_HUMAN
9606.ENSP00000443176	RSPRY_HUMAN
9606.ENSP00000349131	RSPO3_HUMAN
9606.ENSP00000303822	OR7G2_HUMAN
